,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Under the European Asylum Rainbow: Intersectional Queer Challenges,['Weitere Studienangebote'],"['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)', 'Hörsaalverwaltung Westend']",[],[],Öffentliche Veranstaltung,,SoSe 2019,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=270980&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Cornelia Goethe Colloquien: Gender unter Druck. Geschlechterpolitiken in Europa - Wer hat Angst vor Gender Studies? Über Feminismus- Gender und die Zukunft der Geschlechterforschung in neo-reaktionären Zeiten - Sabine Hark (Technische Universität Berlin),['Weitere Studienangebote'],['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)'],[],[],Öffentliche Veranstaltung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=279694&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Cornelia Goethe Colloquien: Gender unter Druck. Geschlechterpolitiken in Europa - Roundtable: “Die radikale Rechte im Europaparlament”,['Weitere Studienangebote'],['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)'],[],[],Öffentliche Veranstaltung,,SoSe 2019,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=279698&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Cornelia Goethe Colloquien: Gender unter Druck. Geschlechterpolitiken in Europa - Hungary: An Exceptional Backlash or A Laboratory for a New Form of Governance? - Andrea Petö (Central European University- Budapest),['Weitere Studienangebote'],['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)'],[],[],Öffentliche Veranstaltung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=279696&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Cornelia Goethe Colloquien: Gender unter Druck. Geschlechterpolitiken in Europa - Anti-Genderismus als männliche Identitätspolitik? - Birgit Sauer (Universität Wien),['Weitere Studienangebote'],['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)'],[],[],Öffentliche Veranstaltung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=279700&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Cornelia Goethe Colloquien: Gender Mainstreaming und Diversity Politics – eine kritische Diskussion der Politik der Gleichstellung in der EU - Birgit Riegraf (Universität Paderborn),['Weitere Studienangebote'],['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)'],[],[],Öffentliche Veranstaltung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=279701&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Cornelia Goethe Colloquien: Europe: What can it teach us? - Nikita Dhawan (Justus-Liebig-Universität Gießen),['Weitere Studienangebote'],['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)'],[],[],Öffentliche Veranstaltung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=279704&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Cornelia Goethe Colloquien: Antifeminismus in Deutschland im Kontext europäischer Entwicklungen - Annette Henninger (Philipps-Universität Marburg),['Weitere Studienangebote'],['Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)'],[],[],Öffentliche Veranstaltung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=279702&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Theorie und Praxis des Sports mit Älteren,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Sedlak< Duro', '']]",Kurs/Workshop,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265151&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Sturzprävention im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Kurs/Workshop,Sturzprävention im Alter,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265152&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
10,Fitness & Kognition im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Kurs/Workshop,,SoSe 2019,1,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265150&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
