,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Zu den Audioguides,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2020/21,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307795&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Wie finde ich Literatur zum Fach...??,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2020/21,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307796&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Virtuelle Fachbibliothek,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2020/21,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307797&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Einstieg in die Recherche,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2020/21,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307798&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Datenbanken,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2020/21,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307799&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Zug der Zeit – Zeit im Zug – Über die Psychologie der Zeit,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wehrs< Elke< Dr.', '']]",Seminar,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=301249&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Wie und wodurch kommunizieren wir mit der Natur?,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=301397&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Wege zu einer nachhaltigen Gesellschaft,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schroeder< Manfred< Dr.', '']]",Vorlesung,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=302047&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,"""ÜberLebensKunst - das Projektlabor"" Teil 2: Bewegung in der Stadt und Natur am Beispiel Frankfurts",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bußmann< Kerstin< Dr.', ''], ['Wehrs< Elke< Dr.', '']]",Seminar,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307726&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Soziale Milieus: Zur Dynamik von gesellschaftlicher Ungleichheit- Wertewandel und kollektiven Identitäten,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hohm< Hans-Jürgen< Prof. Dr.', '']]",Vorlesung,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=301267&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
